Title,URL,Score,Comments
"Go hard on agents, not on your filesystem",https://jai.scs.stanford.edu/,311,176 comments
AMD's Ryzen 9 9950X3D2 Dual Edition crams 208MB of cache into a single chip,https://arstechnica.com/gadgets/2026/03/amds-ryzen-9-9950x3d2-dual-edition-crams-208mb-of-cache-into-a-single-chip/,149,72 comments
CERN uses tiny AI models burned into silicon for real-time LHC data filtering,https://theopenreader.org/Journalism:CERN_Uses_Tiny_AI_Models_Burned_into_Silicon_for_Real-Time_LHC_Data_Filtering,17,17 comments
Trust Signals as Sparklines for Hacker News,https://hn-trustspark.com/,28,6 comments
The bee that everyone wants to save,https://naturalist.bearblog.dev/the-bee-that-everyone-wants-to-save/,91,18 comments
Make macOS consistently bad unironically,https://lr0.org/blog/p/macos/,398,275 comments
LG's new 1Hz display is the secret behind a new laptop's battery life,https://www.pcworld.com/article/3096432/lgs-new-1hz-display-is-the-secret-behind-a-new-laptops-battery-life.html,227,106 comments
Anatomy of the .claude/ folder,https://blog.dailydoseofds.com/p/anatomy-of-the-claude-folder,480,222 comments
.apks are just .zips; semi-legally hacking software for orphaned hardware [video],https://www.youtube.com/watch?v=P1kfuCkWo24,40,17 comments
Nashville library launches Memory Lab for digitizing home movies,https://www.axios.com/local/nashville/2026/03/16/nashville-library-digitize-home-movies,146,36 comments
Show HN: Twitch Roulette – Find live streamers who need views the most,https://twitchroulette.net/,111,51 comments
"Velxio 2.0 – Emulate Arduino, ESP32, and Raspberry Pi 3 in the Browser",https://github.com/davidmonterocrespo24/velxio,143,43 comments
ISBN Visualization,https://annas-archive.gd/isbn-visualization?,159,25 comments
‘Energy independence feels practical’: Europeans building mini solar farms,https://www.euronews.com/2026/03/26/suddenly-energy-independence-feels-practical-europeans-are-building-mini-solar-farms-at-ho,276,260 comments
Improving Composer through real-time RL,https://cursor.com/blog/real-time-rl-for-composer,81,22 comments
Installing a Let's Encrypt TLS certificate on a Brother printer with Certbot,https://owltec.ca/Other/Installing+a+Let%27s+Encrypt+TLS+certificate+on+a+Brother+printer+automatically+with+Certbot+(%26+Cloudflare),215,52 comments
Meow.camera,https://meow.camera/#4258783365322591678,260,60 comments
Iran-linked hackers breach FBI director's personal email,https://www.reuters.com/world/us/iran-linked-hackers-claim-breach-of-fbi-directors-personal-email-doj-official-2026-03-27/,240,346 comments
"Arm releases first in-house chip, with Meta as debut customer",https://www.cnbc.com/2026/03/24/arm-launches-its-own-cpu-with-meta-as-first-customer.html,10,1 comment
The Future of SCIP,https://sourcegraph.com/blog/the-future-of-scip,70,21 comments
